Referencia,Fecha,Dia,Estacion,Activa E,Activa S,Reactiva1,Reactiva2,Reactiva3,Reactiva4,p,q
SAG0125358413,2018-05-10 12:00:00,10/05/2018 00:00,S,0.113,0.0,0.087,0.0,0.0,0.008,1130.0,789.9999999999999
SAG0125358414,2018-05-10 12:00:00,10/05/2018 00:00,S,0.143,0.0,0.054,0.0,0.0,0.006,1430.0,480.0
SAG0125358415,2018-05-10 12:00:00,10/05/2018 00:00,S,0.072,0.0,0.03,0.0,0.0,0.02,720.0,99.99999999999999
SAG0125358416,2018-05-10 12:00:00,10/05/2018 00:00,S,0.282,0.0,0.204,0.0,0.0,0.0,2820.0,2040.0
SAG0125358417,2018-05-10 12:00:00,10/05/2018 00:00,S,0.092,0.0,0.0,0.0,0.0,0.013,920.0,-130.0
SAG0125358418,2018-05-10 12:00:00,10/05/2018 00:00,S,0.169,0.0,0.014,0.0,0.0,0.025,1690.0,-110.00000000000001
SAG0125358420,2018-05-10 12:00:00,10/05/2018 00:00,S,0.058,0.0,0.0,0.0,0.0,0.139,580.0,-1390.0
SAG0125358491,2018-05-10 12:00:00,10/05/2018 00:00,S,1305.0,0.0,2.404,0.0,0.0,0.0,13050000.0,24040.0
SAG0125358492,2018-05-10 12:00:00,10/05/2018 00:00,S,0.077,0.0,0.0,0.0,0.0,0.019,770.0,-190.0
SAG0125358493,2018-05-10 12:00:00,10/05/2018 00:00,S,0.082,0.0,0.046,0.0,0.0,0.014,820.0,320.0
SAG0125358494,2018-05-10 12:00:00,10/05/2018 00:00,S,0.13,0.0,0.001,0.0,0.0,0.033,1300.0,-320.0
SAG0125358495,2018-05-10 12:00:00,10/05/2018 00:00,S,0.129,0.0,0.087,0.0,0.0,0.006,1290.0,809.9999999999999
SAG0125358496,2018-05-10 12:00:00,10/05/2018 00:00,S,0.407,0.0,0.0,0.0,0.0,0.094,4070.0,-940.0
SAG0125358497,2018-05-10 12:00:00,10/05/2018 00:00,S,0.158,0.0,0.003,0.0,0.0,0.063,1580.0,-600.0
SAG0125358498,2018-05-10 12:00:00,10/05/2018 00:00,S,0.005,0.0,0.0,0.0,0.0,0.028,50.0,-280.0
SAG0125358499,2018-05-10 12:00:00,10/05/2018 00:00,S,0.166,0.0,0.019,0.0,0.0,0.008,1660.0,110.0
SAG0125358500,2018-05-10 12:00:00,10/05/2018 00:00,S,0.109,0.0,0.084,0.0,0.0,0.014,1090.0,700.0
SAG0125358501,2018-05-10 12:00:00,10/05/2018 00:00,S,0.234,0.0,0.133,0.0,0.0,0.0,2340.0,1330.0
SAG0125358502,2018-05-10 12:00:00,10/05/2018 00:00,S,0.152,0.0,0.001,0.0,0.0,0.199,1520.0,-1980.0
SAG0125358503,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAG0125358504,2018-05-10 12:00:00,10/05/2018 00:00,S,0.086,0.0,0.007,0.0,0.0,0.068,860.0,-610.0000000000001
SAG0125358505,2018-05-10 12:00:00,10/05/2018 00:00,S,0.726,0.0,0.321,0.0,0.0,0.0,7260.0,3210.0
SAG0125358507,2018-05-10 12:00:00,10/05/2018 00:00,S,0.022,0.0,0.0,0.0,0.0,0.001,220.0,-10.0
SAG0125358508,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAG0125358509,2018-05-10 12:00:00,10/05/2018 00:00,S,0.124,0.0,0.113,0.0,0.0,0.0,1240.0,1130.0
SAG0125358510,2018-05-10 12:00:00,10/05/2018 00:00,S,0.07,0.0,0.0,0.0,0.0,0.168,700.0,-1680.0
SAG0125358531,2018-05-10 12:00:00,10/05/2018 00:00,S,0.03,0.0,0.015,0.0,0.0,0.003,300.0,120.0
SAG0125358532,2018-05-10 12:00:00,10/05/2018 00:00,S,0.689,0.0,0.138,0.0,0.0,0.061,6890.0,770.0000000000001
SAG0125358533,2018-05-10 12:00:00,10/05/2018 00:00,S,0.064,0.0,0.0,0.0,0.0,0.033,640.0,-330.0
SAG0125358534,2018-05-10 12:00:00,10/05/2018 00:00,S,0.012,0.0,0.041,0.0,0.0,0.0,120.0,410.0
SAG0125358535,2018-05-10 12:00:00,10/05/2018 00:00,S,0.013,0.0,0.009,0.0,0.0,0.0,130.0,90.0
SAG0125358537,2018-05-10 12:00:00,10/05/2018 00:00,S,0.541,0.0,0.249,0.0,0.0,0.0,5410.0,2490.0
SAG0125358538,2018-05-10 12:00:00,10/05/2018 00:00,S,0.133,0.0,0.154,0.0,0.0,0.0,1330.0,1540.0
SAG0125358539,2018-05-10 12:00:00,10/05/2018 00:00,S,0.189,0.0,0.017,0.0,0.0,0.051,1890.0,-339.99999999999994
SAG0125358540,2018-05-10 12:00:00,10/05/2018 00:00,S,0.041,0.0,0.0,0.0,0.0,0.018,410.0,-180.0
SAG0125358551,2018-05-10 12:00:00,10/05/2018 00:00,S,0.107,0.0,0.033,0.0,0.0,0.0,1070.0,330.0
SAG0125358554,2018-05-10 12:00:00,10/05/2018 00:00,S,0.123,0.0,0.158,0.0,0.0,0.0,1230.0,1580.0
SAG0125358556,2018-05-10 12:00:00,10/05/2018 00:00,S,0.937,0.0,0.196,0.0,0.0,0.0,9370.0,1960.0
SAG0125358558,2018-05-10 12:00:00,10/05/2018 00:00,S,0.066,0.0,0.015,0.0,0.0,0.03,660.0,-150.0
SAG0125358559,2018-05-10 12:00:00,10/05/2018 00:00,S,0.214,0.0,0.015,0.0,0.0,0.034,2140.0,-190.00000000000003
SAG0125358560,2018-05-10 12:00:00,10/05/2018 00:00,S,0.107,0.0,0.103,0.0,0.0,0.018,1070.0,849.9999999999999
SAG0125358561,2018-05-10 12:00:00,10/05/2018 00:00,S,0.39,0.0,0.177,0.0,0.0,0.0,3900.0,1770.0
SAG0125358562,2018-05-10 12:00:00,10/05/2018 00:00,S,0.137,0.0,0.052,0.0,0.0,0.0,1370.0,520.0
SAG0125358563,2018-05-10 12:00:00,10/05/2018 00:00,S,0.021,0.0,0.0,0.0,0.0,0.015,210.0,-150.0
SAG0125358564,2018-05-10 12:00:00,10/05/2018 00:00,S,1771.0,0.0,0.0,0.0,0.0,0.25,17710000.0,-2500.0
SAG0125358565,2018-05-10 12:00:00,10/05/2018 00:00,S,0.034,0.0,0.035,0.0,0.0,0.0,340.0,350.0
SAG0125358567,2018-05-10 12:00:00,10/05/2018 00:00,S,1588.0,0.0,0.041,0.0,0.0,0.045,15880000.0,-39.999999999999964
SAG0125358568,2018-05-10 12:00:00,10/05/2018 00:00,S,0.005,0.0,0.0,0.0,0.0,0.016,50.0,-160.0
SAG0125358569,2018-05-10 12:00:00,10/05/2018 00:00,S,0.834,0.0,0.0,0.0,0.0,0.504,8340.0,-5040.0
SAG0125358570,2018-05-10 12:00:00,10/05/2018 00:00,S,0.517,0.0,0.0,0.0,0.0,0.192,5170.0,-1920.0
SAG0125358591,2018-05-10 12:00:00,10/05/2018 00:00,S,0.092,0.0,0.008,0.0,0.0,0.041,920.0,-330.0
SAG0125358592,2018-05-10 12:00:00,10/05/2018 00:00,S,0.196,0.0,0.183,0.0,0.0,0.008,1960.0,1750.0
SAG0125358593,2018-05-10 12:00:00,10/05/2018 00:00,S,0.059,0.0,0.0,0.0,0.0,0.056,590.0,-560.0
SAG0125358594,2018-05-10 12:00:00,10/05/2018 00:00,S,0.028,0.0,0.024,0.0,0.0,0.0,280.0,240.0
SAG0125358595,2018-05-10 12:00:00,10/05/2018 00:00,S,0.25,0.0,0.0,0.0,0.0,0.07,2500.0,-700.0
SAG0125358597,2018-05-10 12:00:00,10/05/2018 00:00,S,0.849,0.0,0.044,0.0,0.0,0.004,8490.0,399.99999999999994
SAG0125358598,2018-05-10 12:00:00,10/05/2018 00:00,S,0.416,0.0,0.011,0.0,0.0,0.064,4160.0,-530.0000000000001
SAG0125358600,2018-05-10 12:00:00,10/05/2018 00:00,S,1175.0,0.0,0.007,0.0,0.0,0.106,11750000.0,-989.9999999999999
SAG0125358631,2018-05-10 12:00:00,10/05/2018 00:00,S,0.024,0.0,0.0,0.0,0.0,0.01,240.0,-100.0
SAG0125358632,2018-05-10 12:00:00,10/05/2018 00:00,S,0.067,0.0,0.021,0.0,0.0,0.028,670.0,-69.99999999999999
SAG0125358633,2018-05-10 12:00:00,10/05/2018 00:00,S,0.215,0.0,0.206,0.0,0.0,0.0,2150.0,2060.0
SAG0125358634,2018-05-10 12:00:00,10/05/2018 00:00,S,0.103,0.0,0.099,0.0,0.0,0.0,1030.0,990.0
SAG0125358635,2018-05-10 12:00:00,10/05/2018 00:00,S,0.079,0.0,0.0,0.0,0.0,0.035,790.0,-350.0
SAG0125358636,2018-05-10 12:00:00,10/05/2018 00:00,S,0.515,0.0,0.027,0.0,0.0,0.014,5150.0,130.0
SAG0125358637,2018-05-10 12:00:00,10/05/2018 00:00,S,0.667,0.0,0.234,0.0,0.0,0.0,6670.0,2340.0
SAG0125358638,2018-05-10 12:00:00,10/05/2018 00:00,S,0.042,0.0,0.077,0.0,0.0,0.0,420.0,770.0
SAG0125358639,2018-05-10 12:00:00,10/05/2018 00:00,S,0.518,0.0,0.005,0.0,0.0,0.046,5180.0,-410.0
SAG0125358640,2018-05-10 12:00:00,10/05/2018 00:00,S,0.209,0.0,0.147,0.0,0.0,0.0,2090.0,1470.0
SAG0125360052,2018-05-10 12:00:00,10/05/2018 00:00,S,0.217,0.0,0.148,0.0,0.0,0.0,2170.0,1480.0
SAG0125360410,2018-05-10 12:00:00,10/05/2018 00:00,S,0.037,0.0,0.019,0.0,0.0,0.0,370.0,190.0
SAG0145400916,2018-05-10 12:00:00,10/05/2018 00:00,S,0.329,0.0,0.054,0.0,0.0,0.005,3290.0,490.0
SAG0145443254,2018-05-10 12:00:00,10/05/2018 00:00,S,0.304,0.0,0.063,0.0,0.0,0.0,3040.0,630.0
SAG0155289352,2018-05-10 12:00:00,10/05/2018 00:00,S,0.29,0.0,0.079,0.0,0.0,0.004,2900.0,750.0
SAG0156203784,2018-05-10 12:00:00,10/05/2018 00:00,S,0.155,0.0,0.0,0.0,0.0,0.098,1550.0,-980.0
SOG0020042461,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOG0020051401,2018-05-10 12:00:00,10/05/2018 00:00,S,0.027,0.0,0.0,0.0,0.0,0.121,270.0,-1210.0
ZIV0034685019,2018-05-10 12:00:00,10/05/2018 00:00,S,0.142,0.0,0.115,0.0,0.0,0.0,1420.0,1150.0
ZIV0034685065,2018-05-10 12:00:00,10/05/2018 00:00,S,1011.0,0.0,0.014,0.0,0.0,0.008,10110000.0,60.0
ZIV0034795218,2018-05-10 12:00:00,10/05/2018 00:00,S,0.236,0.0,0.023,0.0,0.0,0.015,2360.0,80.0
ZIV0034795219,2018-05-10 12:00:00,10/05/2018 00:00,S,0.251,0.0,0.008,0.0,0.0,0.027,2510.0,-190.0
ZIV0034795220,2018-05-10 12:00:00,10/05/2018 00:00,S,0.011,0.0,0.003,0.0,0.0,0.0,110.0,30.0
ZIV0034795221,2018-05-10 12:00:00,10/05/2018 00:00,S,0.024,0.0,0.0,0.0,0.0,0.002,240.0,-20.0
ZIV0034795222,2018-05-10 12:00:00,10/05/2018 00:00,S,0.096,0.0,0.04,0.0,0.0,0.042,960.0,-20.000000000000018
ZIV0034795225,2018-05-10 12:00:00,10/05/2018 00:00,S,0.02,0.0,0.019,0.0,0.0,0.012,200.0,69.99999999999999
ZIV0034795226,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIV0034795227,2018-05-10 12:00:00,10/05/2018 00:00,S,0.2,0.0,0.07,0.0,0.0,0.0,2000.0,700.0
ZIV0034795299,2018-05-10 12:00:00,10/05/2018 00:00,S,0.104,0.0,0.001,0.0,0.0,0.045,1040.0,-440.0
ZIV0034795308,2018-05-10 12:00:00,10/05/2018 00:00,S,0.097,0.0,0.116,0.0,0.0,0.006,970.0,1100.0
ZIV0034795309,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIV0034795310,2018-05-10 12:00:00,10/05/2018 00:00,S,0.123,0.0,0.001,0.0,0.0,0.037,1230.0,-360.0
ZIV0034795311,2018-05-10 12:00:00,10/05/2018 00:00,S,0.007,0.0,0.0,0.0,0.0,0.04,70.0,-400.0
ZIV0034795312,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIV0034795313,2018-05-10 12:00:00,10/05/2018 00:00,S,0.115,0.0,0.041,0.0,0.0,0.013,1150.0,280.00000000000006
