nodefrom,nodeto,cable,length,PCR
3194477,3194482,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,0
3194477,3194597,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",39.0,0
3194477,3280980,"BT - RV 0,6/1 KV 4*25 KAL",8.0,500008722
3194482,3194502,"BT - RV 0,6/1 KV 4*25 KAL",5.0,15185601
3194482,3194520,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",23.0,0
3194597,3194626,"BT - RV 0,6/1 KV 4*25 KAL",4.0,30257701
3194597,3194638,"BT - RV 0,6/1 KV 4*95 KAL",9.0,15184501
3194597,1203892,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,0
3194597,3194694,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.0,0
3194520,3194526,"BT - RV 0,6/1 KV 4*25 KAL",5.0,15185801
3194520,3194541,"BT - RV 0,6/1 KV 4*25 KAL",7.0,37465201
1203892,649584,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.0,0
1203892,1203904,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.0,100666194
3194694,3194708,"BT - RV 0,6/1 KV 4*25 KAL",4.0,34889201
3194694,3194721,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",14.0,0
649584,649567,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",18.0,0
3194721,3194737,"BT - RV 0,6/1 KV 4*25 KAL",9.0,15184701
3194721,3194731,"BT - RV 0,6/1 KV 4*25 KAL",3.0,30812201
3194721,3194751,"BT - RV 0,6/1 KV 4*25 KAL",3.0,30554501
3194721,3194783,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",34.0,0
649567,649576,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",13.0,0
649567,649581,"BT - RV 0,6/1 KV 4*95 KAL",2.0,100213421
649576,1406046,"BT - RV 0,6/1 KV 4*95 KAL",2.0,100690062
3864451,44270,BT - Desconocido BT,1.0,0
44270,3588228,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",42.26,0
3588228,3579600,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",1.23,500011448
3579600,2537212,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.18,0
2537212,44288,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.0,0
44288,2575422,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",3.0,32762401
44288,44290,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,0
2575422,2575448,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",13.0,15119301
44290,2575371,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",18.0,4277601
44290,2575361,"BT - RZ 0,6/1 KV 4*16 AL",12.0,0
2575448,2575544,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",28.0,15181001
2575371,44292,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.99,0
2575544,2579329,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",7.66,100751248
44292,43339,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,0
44292,2524922,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",12.0,32428001
2579329,2575568,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",14.0,15119501
43339,2575231,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",5.0,15122201
2524922,44293,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",3.0,33756101
2575568,2575890,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",22.26,0
2575231,2575228,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",6.0,4277401
2575890,933919,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",26.0,0
2575228,2575267,"BT - RZ 0,6/1 KV 3*150 AL/80 ALM",6.0,0
933919,933900,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,0
933900,3412191,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.87,0
933900,933924,"BT - RV 0,6/1 KV 4*95 KAL",4.0,15151701
933900,933929,"BT - RV 0,6/1 KV 4*95 KAL",4.0,4281102
3864451,44259,BT - Desconocido BT,1.0,0
44259,2264552,BT - Desconocido BT,6.0,0
2264552,3226317,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",40.0,0
3226317,2264557,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",35.0,0
2264557,2524846,BT - Desconocido BT,16.0,0
2264557,3831483,BT - Desconocido BT,14.07,30878801
2524846,2524838,BT - Desconocido BT,16.0,0
2524846,2524851,"BT - RV 0,6/1 KV 4*95 KAL",1.0,30878601
3831483,3831482,BT - Desconocido BT,22.26,30878901
2524838,43375,BT - Desconocido BT,19.35,0
2524838,2524843,"BT - RV 0,6/1 KV 4*95 KAL",1.0,30878701
3831482,1811912,BT - Desconocido BT,23.6,0
1811912,1811871,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,0
1811912,1811921,BT - Desconocido BT,13.0,0
1811912,2538885,"BT - RV 0,6/1 KV 4*95 KAL",23.0,15177201
3864451,2595930,BT - Desconocido BT,1.0,0
2595930,3191216,BT - Desconocido BT,10.0,0
3191216,3191254,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",17.0,0
3191254,3191275,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",21.0,0
3191275,2577330,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",1.02,15188201
2577330,2525026,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",1.31,0
2525026,3195124,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",4.0,0
2525026,2525031,"BT - RZ 0,6/1 KV 4*16 AL",3.0,30194501
3195124,2577380,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",13.0,0
2577380,44253,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",15.0,0
44253,2573776,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",30.0,15171101
44253,44255,"BT - RZ 0,6/1 KV 4*16 AL",23.0,15171001
44253,44299,"BT - RZ 0,6/1 KV 3*25 AL/54,6 ALM",9.0,0
2573776,2573791,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",4.0,15171201
44299,3195099,BT - Desconocido BT,9.0,0
44299,44300,BT - Desconocido BT,7.0,4286301
2573791,2573831,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",10.0,15171301
3195099,3195095,BT - Desconocido BT,5.0,15186001
2573831,2573943,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",19.0,15171401
3195095,2525041,BT - Desconocido BT,4.0,0
2573943,2614724,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.0,15137201
2525041,44298,BT - Desconocido BT,12.0,0
2525041,2525046,"BT - RZ 0,6/1 KV 4*16 AL",14.0,15185001
2614724,2597416,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",7.77,0
2614724,2614721,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.0,38390171
44298,3195309,BT - Desconocido BT,24.0,0
2525046,2525056,BT - MANGUERA,3.0,0
2525046,2525061,BT - MANGUERA,3.0,0
2614721,1405992,"BT - RZ 0,6/1 KV 3*25 AL/54,6 ALM",11.33,0
2614721,2614720,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",16.0,15171501
3195309,2239319,BT - Desconocido BT,6.0,0
2614720,2574035,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",9.0,15171602
2239319,2239324,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",10.0,0
2574035,2574144,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",3.0,15171601
2239324,2239329,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,102395768
2239324,2239318,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",11.0,0
2574144,3194985,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.0,0
2239318,44304,BT - Desconocido BT,13.0,15137101
3194985,2574617,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",12.0,15184801
3194985,3194836,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",21.0,0
3194985,3194943,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",16.0,0
2574617,3194663,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",3.0,0
3194836,3194851,BT - Desconocido BT,7.0,15184901
3194836,3194826,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.0,0
3194836,3194858,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",7.0,0
3194943,1405960,"BT - RZ 0,6/1 KV 3*25 AL/54,6 ALM",8.0,15154601
3194943,3195024,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.0,4283901
3194858,3194864,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",3.0,0
3195024,3195007,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.0,0
3194864,44257,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",7.0,0
3864451,43448,BT - Desconocido BT,1.0,0
43448,1119982,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",44.0,0
1119982,1119992,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",6.0,100130304
1119982,1119997,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,0
1119982,2525133,"BT - RV 0,6/1 KV 4*25 KAL",4.0,15174501
1119997,2577535,BT - Desconocido BT,6.0,500006221
2577535,2577530,BT - Desconocido BT,2.0,15117901
2577530,2577532,BT - Desconocido BT,2.0,15122301
2577532,43450,BT - Desconocido BT,16.0,0
43450,43451,BT - Desconocido BT,11.0,36004401
43450,2576514,BT - Desconocido BT,20.0,0
2576514,43452,BT - Desconocido BT,26.0,0
2576514,2576524,BT - Desconocido BT,1.0,4277701
43452,43294,BT - Desconocido BT,2.0,0
43452,2537242,BT - Desconocido BT,12.22,15122701
2537242,2537247,BT - MANGUERA,9.71,31949301
2537242,2574765,BT - Desconocido BT,13.43,0
2574765,2574775,BT - Desconocido BT,14.0,15122501
2574775,2574794,BT - Desconocido BT,4.0,4287801
2574794,43453,BT - Desconocido BT,18.0,0
43453,43454,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",9.0,0
43453,43455,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",38.0,31261701
43454,43456,BT - Desconocido BT,6.0,4280401
43454,2575174,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.22,4280501
2575174,43457,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",6.45,100204763
43457,403379,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",28.11,0
